AMSTERDAM,The largest city and national capital of the Netherlands (Holland).,Netherlands
BERLIN,The largest city and national capital of Germany (Deutschland).,Germany
NEW YORK,New York City - the Big Apple - the most populous city of the USA - in the state of New York - the city is seat of the United Nations headquarters.,America
BANGKOK,Thailand's national capital - its largest city and the country's main cultural centre.,Thailand
BRUSSELS,The national capital of Belgium - sometimes called the European capital because the city houses main institutions of the European Union and is also the political seat of the NATO.,Belgium
BUDAPEST,Hungary's capital city - comprises of the hilly Buda on the west and the flat Pest on the east bank of the river Danube.,Hungary
BUENOS AIRES,The former (1536) Ciudad del Esperitu Santo y Puerto Santa Marea del Buen Ayre is the largest city and the national capital of Argentina.,Argentina
CAIRO,Located on the banks and islands of the Nile River in northeast Egypt - Cairo is the largest city in both Africa and the Middle East - the national capital of Egypt and a cultural centre of the Arab world.,Egypt
CANBERRA,Australia's planned capital city - founded in 1908 - some years after the federation of Australian states into the Commonwealth of Australia in 1901.,Australia
COPENHAGEN,The capital city of Denmark - the city houses the national parliament - the government - and the Danish monarchy.,Denmark
DAMASCUS,Visit Damascus one of the oldest city in the world and the national capital of Syria.,Syria
ATHENS,Named after the Greek goddess Athena - the municipality of Athens is the national capital of Greece.,Greece
BALTIMORE,Largest city in Maryland - USA.,America
BEIJING,The national capital and second largest city of China.,China
BERNE,The national capital city of Switzerland with an UNESCO recognized mediaeval city centre.,Switzerland
CAPE TOWN,Since some years the city is a popular tourist destination in South Africa; Cape Town is the legislative centre of the country and capital city of the Western Cape Province.,South Africa
COLOGNE,"Cologne is the oldest cities in Germany. The name Cologne stems from Agrippina - the Cologne-born wife of the Roman Emperor Claudius - who proclaimed the city ""Colonia"" in the year 50 AD.",Germany
DUBAI CITY,Main city of the emirate Dubai - in the United Arab Emirates - the city will host the first Dubai International Film Festival in December 2004.,Dubai
FLORENCE,Historical city and capital city of the region Tuscany (Toscana) in Italy.,Italy
THE HAGUE,Netherlands seat of the Dutch government and as one of the capitals of the United Nations it hosts - beside other institutions of the UN - the International Court of Justice.,Netherlands
HAVANA,Once Great Britain has seized the city in 1762 - and then exchanged it for Florida the following year. Habana is the capital of Cuba and the largest city in the Caribbean.,Cuba
HONG KONG,The city was a former British dependency that was returned to China in 1997 - now it is formaly a Special Administrative Region (SAR) of China situated at the South China Sea - by population the fourth largest metropolitan area of the PRC.,China
ISTANBUL,Formerly Constantinople - the only city in the world that is located on two continents - largest city and seaport in Turkey.,Turkey
JERUSALEM,The capital city of the State of Israel - also claimed by the Palestinians as the capital of Palestine; the ancient Middle Eastern city is of key importance to the religions of Judaism - Christianity - and Islam.,Isreal
KATHMANDU,Kathmandu Metropolitan City is the cultural and religious centre and the capital city of Nepal - famous for its Buddhist and Hindu temples and palaces.,Nepal
LISBON,Largest city - cultural and educational centre and the national capital of Portugal located in the west of the country on the Atlantic coast.,Portugal
LOS ANGELES,The City of Los Angeles is a very large urban sprawl in south California - in the west of the USA - it's the second most populous city of the country and famous for its movie and television productions (Hollywood). By the way - nobody walks in LA.,America
MADRID,Proclaimed official capital of the Kingdom of Spain in 1561 - Spain's largest city and the national centre of arts and industry.,Spain
MELBOURNE,Second largest city (by population) of Australia - a trendy metropolis with everything you expect from a big city.,Australia
